year_launched,name,guns,rating,notes
1663,Prince Royal,92,First,rebuilt 1663. taken and burnt by the Dutch 1666.
1668,Charles,96,First,renamed St George 1687.  re-classed as second rate 1691.  rebuilt 1701.
1670,St Andrew,96,First,renamed Royal Anne when rebuilt 1704.
1670,London,96,First,broken up 1701.
1670,Prince,100,First,repaired and renamed Royal William 1692.  rebuilt 1719.
1671,Royal James,100,First,burned in action 1672.
1673,Royal Charles,100,First,repaired and renamed Queen 1693.  rebuilt and renamed Royal George in 1715.
1675,Royal James,100,First,renamed Victory 1691.  then Royal George 1714.  then Victory again in 1715; burnt by accident 1721.
1664,Royal Katherine,76,Second,rebuilt from 1699 to 1703.
1664,Royal Oak,76,Second,burned by the Dutch on 14 June 1667.
1666,Loyal London,80,Second,burned by the Dutch on 14 June 1667.
1666,Victory,76,Second,Rebuilt 1666. condemned and broken up 1691.
1666,French Ruby,66,Second,a prize.  Le Rubis.  captured from the French.  hulked January 1686 at Portsmouth after storm damage and broken up.
1669,St Michael,90,Second,re-classed as a first rate 1672.  then back to a second rate 1689; renamed Marlborough in 1706 and rebuilt 1706 to 1708.
1665,Clove Tree,62,Third,a prize.  formerly VOC ship Nagelboom.  captured from the Dutch.  retaken by them 1666.
1665,House of Sweeds,70,Third,formerly Huis te Zwieten.  a prize captured from the Dutch.  sunk as a blockship in the Thames 1667.
1665,Golden Phoenix,70,Third,formerly Geldersche Ruyter.  a prize captured from the Dutch.  sunk as a blockship in the Thames 1667.
1665,Slothany,60,Third,formerly Slot Hooningen.  a prize captured from the Dutch.  hulked 1667.  sold 1686.
1665,Helverson,60,Third,formerly Hilversum.  a prize captured from the Dutch in June 1665.  sunk as a blockship in the Medway 1667.
1666,Cambridge,64,Third,wrecked 1694.
1666,Warspite,64,Third,rebuilt 1702.
1666,Defiance,64,Third,burned by accident 1668.
1666,Rupert,64,Third,rebuilt 1703.
1667,Resolution,64,Third,rebuilt 1698.
1667,Monmouth,64,Third,rebuilt 1700.
1668,Edgar,72,Third,rebuilt 1700.
1673,Swiftsure,66,Third,rebuilt 1696.
1674,Harwich,66,Third,wrecked 1691.
1674,Royal Oak,70,Third,rebuilt 1713.
1675,Defiance,64,Third,rebuilt 1695.
1674,Arms of Rotterdam,60,Third,a prize captured from the Dutch. hulked 1675. broken up 1703.
1665,West Friesland,54,Fourth,a prize.  Westfriesland.  captured from the Dutch.  sold 1667.
1665,Seven Oaks,52,Fourth,a prize.  Zevenwolden.  captured from the Dutch.  retaken by them 1666.
1665,Charles V,52,Fourth,a prize.  Carolus Quintus.  captured from the Dutch.  burned by them 1667.
1665,Guilder de Ruyter,50,Fourth,a prize.  Geldersche Ruiter.  captured from the Dutch.  sold 1667.
1665,Maria Sancta,50,Fourth,a prize.  Sint Marie.  captured from the Dutch.  burned by them 1667.
